track_id,track_pos,artists,track_name,writers,track_votes
1957_4,5,Claudio Villa-Giorgio Consolini,Cancello tra le rose,U. Bertini-M. De Paolis,30
1957_5,6,Claudio Villa-Gino Latilla-Natalino Otto-Poker di Voci,Il pericolo numero uno,E. Bonagura-M. Cozzoli,24
1957_6,7,Tina Allori-Tonina Torrielli,Intorno a te (È sempre primavera),D. Bernazza- M. De Angelis- A. Piga-Falco,16
1957_7,8,Carla Boni-Nunzio Gallo,Per una volta ancora,U. Bertini-G. D'Anzi,12
1957_8,9,Gino Baldi-Duo Fasano-Natalino Otto-Poker di Voci,Un filo di speranza,G. C. Testoni-S. Seracini,7
1957_9,10,Carla Boni-Duo Fasano-Gloria Christian- Natalino Otto-Poker di Voci,Le trote blu,D. Calcagno-L. Gelmini,4
1958_0,1,Domenico Modugno-Johnny Dorelli,Nel blu dipinto di blu,D. Modugno-F. Migliacci,63
1958_1,2,Nilla Pizzi-Tonina Torrielli,L'edera,V. D'Acquisto-S. Seracini,41
1958_2,3,Gino Latilla-Nilla Pizzi,Amare un'altra,R. Pazzaglia-G. Fabor,22
1958_3,4,Claudio Villa-Giorgio Consolini,Campana di Santa Lucia,B. Cherubini-C. Concina,18
1958_4,5,Claudio Villa-Nilla Pizzi,Giuro d'amarti così,M. Panzeri-V. Mascheroni,17
1958_5,6,Carla Boni-Gino Latilla-Aurelio Fierro-Gloria Christian,Timida serenata,N. Salerno-G. Redi,15
1958_6,7,Claudio Villa-Duo Fasano-Aurelio Fierro-Trio Joyce,Fragole e cappellini,M. Panzeri-S. Seracini,13
1958_7,8,Natalino Otto-Carla Boni-Gino Latilla,Non potrai dimenticare,B. Pallesi-W. Malgoni,8
1958_8,9,Tonina Torrielli-Cristina Jorio,Mille volte,Zibio-G. Fabor,3
1958_9,10,Johnny Dorelli-Natalino Otto,Fantastica,A. Costanzo- C. Gori-P. Bentivoglio,1
1959_0,1,Domenico Modugno-Johnny Dorelli,Piove (ciao ciao bambina),D. Modugno-D. Verde,57
1959_1,2,Arturo Testa-Gino Latilla,Io sono il vento,G. C. Testoni-G. Fanciulli,48
1959_2,3,Teddy Reno-Achille Togliani,Conoscerti,G. D'Anzi,27
1959_3,4,Jula de Palma-Tonina Torrielli,Tua,B. Pallesi-W. Malgoni,18
1959_4,5,Teddy Reno-Aurelio Fierro,Lì per lì,L. Beretta-G. Viezzoli,14
1959_5,6,Fausto Cigliano-Nilla Pizzi,Sempre con te,R. Murolo,13
1959_6,7,Natalino Otto-Aurelio Fierro,Avevamo la stessa età,D. Calcagno-M. Marini,12
1959_7,8,Betty Curtis-Wilma De Angelis,Nessuno,A. De Simone- E. Capotosti-V. Mascheroni,10
1959_8,9,Johnny Dorelli-Betty Curtis-Gino Latilla-Claudio Villa,Una marcia in Fa,M. Panzeri-V. Mascheroni,9
1959_9,10,Claudio Villa-Betty Curtis,Un bacio sulla bocca,A. Testa-G. Cichellero,3
1960_0,1,Tony Dallara-Renato Rascel,Romantica,D. Verde-R. Rascel,186
1960_1,2,Domenico Modugno-Teddy Reno,Libero,D. Modugno-F. Migliacci,84
1960_2,3,Wilma De Angelis-Joe Sentieri,Quando vien la sera,A. Testa-C. A. Rossi,26
1960_3,4,Nilla Pizzi-Tonina Torrielli,Colpevole,V. D'Acquisto-S. Seracini,22
1960_4,5,Joe Sentieri-Sergio Bruni,È mezzanotte,A. Testa- R. Cozzoli-G. Compare,16
1960_5,6,Giorgio Consolini-Sergio Bruni,Il mare,A. Pugliese-A. Vian,15
1960_6,7,Jula de Palma-Tony Dallara,Noi,B. Pallesi-W. Malgoni,14
1960_7,8,Teddy Reno-Mina,È vero,N. Salerno-U. Bindi,9
1960_8,9,Fausto Cigliano-Irene D'Areni,Splende il sole,Pinchi-Danpa,8
1960_9,10,Johnny Dorelli-Jula de Palma,Notte mia,M. Zanfagna-M. De Martino,1
1961_0,1,Betty Curtis-Luciano Tajoli,Al di là,Mogol - Donida,708.104
1961_1,2,Adriano Celentano-Little Tony,24mila baci,P. Vivarelli- L. Fulci-A. Celentano,679.175
1961_2,3,Milva-Gino Latilla,Il mare nel cassetto,Rolla - La Valle - Lattuada,648.776
1961_3,4,Mina-Nelly Fioramonti,Io amo tu ami,E. Bonagura - G. Redi,178.593
1961_4,5,Mina-Jenny Luna,Le mille bolle blu,V. Pallavicini-C. A. Rossi,175.863
1961_5,6,Pino Donaggio-Teddy Reno,Come sinfonia,P. Donaggio,127.679
1961_6,7,Arturo Testa-Tonina Torrielli,Febbre di musica,Biri-V. Mascheroni,100.217
1961_7,8,Teddy Reno-Sergio Bruni,Mandolino mandolino,A. Vian-A. Pugliese,75.218
1961_8,9,Sergio Bruni-Rocco Granata,Carolina dai,D. Pace-M. Panzeri,68.907
1961_9,10,Gino Paoli-Tony Dallara,Un uomo vivo,G. Paoli,65.499
1962_0,1,Domenico Modugno-Claudio Villa,Addio...addio...,F. Migliacci-D. Modugno,1.496.411
1962_1,2,Sergio Bruni-Milva,Tango italiano,B. Pallesi-W. Malgoni,1.255.805
1962_2,3,Sergio Bruni-Ernesto Bonino,Gondolì gondolà,Nisa-R. Carosone,295.049
1962_3,4,Tony Renis-Emilio Pericoli,Quando quando quando,A. Testa-T. Renis,224.686
1962_4,5,Milva-Miriam Del Mare,Stanotte al luna park,V. Pallavicini- Biri-C. A. Rossi,208.573
1962_5,6,Gino Bramieri-Aurelio Fierro,Lui andava a cavallo,N. Salerno-N. Ravasini,194.990
1962_6,7,Arturo Testa-Jolanda Rossin,Un'anima leggera,P. Rolla-F. Bergamini,143.354
1962_7,8,Joe Sentieri-Aurelio Fierro,Cipria di sole,G. Marotta-S. Mazzocco,118.826
1962_8,9,Tonina Torrielli-Nelly Fioramonti,Aspettandoti,S. Seracini-V. D'Acquisto,111.785
1962_9,10,Johnny Dorelli-Betty Curtis,Buongiorno amore,M. Panzeri-J. Dorelli,91.750
1963_0,1,Tony Renis-Emilio Pericoli,Uno per tutte,Mogol- A. Testa-T. Renis,90
1963_1,2,Claudio Villa-Eugenia Foligatti,Amor mon amour my love,W. Malgoni- Pinchi-B. Pallesi,77
1963_2,3,Pino Donaggio-Cocky Mazzetti,Giovane giovane,P. Donaggio-A. Testa,71
1963_3,4,Wilma De Angelis-Johnny Dorelli,Non costa niente,G. Calabrese- D. Calcagno-E. Sciorilli,48
1963_4,5,Milva-Luciano Tajoli,Ricorda,C. Donida-Mogol,45
1963_5,6,Tonina Torrielli-Eugenia Foligatti,Perdonarsi in due,G. D'Anzi-Pinchi,19
1963_6,7,Aurelio Fierro-Claudio Villa,Occhi neri e cielo blu,M. Panzeri-D. Pace,16
1963_7,8,Emilio Pericoli-Sergio Bruni,Sull'acqua,M. Pagano-F. Maresca,14
1963_8,9,Aura D'Angelo-Arturo Testa,Tu venisti dal mare,F. Rendine-A. Pugliese,12
1963_9,10,Milva-Gianni Lacommare,Non sapevo,P. Calvi-B. Pallesi,10
1964_0,1,Gigliola Cinquetti-Patricia Carli,Non ho l'età (Per amarti),M. Panzeri- Nisa- G. Colonnello,0
1965_0,1,Bobby Solo-The New Christy Minstrels,"Se piangi, se ridi",Mogol- G. Marchetti- R. Satti,0
1966_0,1,Domenico Modugno-Gigliola Cinquetti,"Dio, come ti amo",D. Modugno,77
1966_1,2,Caterina Caselli-Gene Pitney,Nessuno mi può giudicare,D. Pace- M. Panzeri- L. Beretta-M. Del Prete,31
1966_2,3,Wilma Goich-Les Surfs,In un fiore,C. Donida-Mogol,19
1966_3,4,Pino Donaggio-Claudio Villa,Una casa in cima al mondo,P. Donaggio-V. Pallavicini,16
1966_4,5,Anna Identici-The New Christy Minstrels,Una rosa da Vienna,G. Guarnieri-B. Lauzi,14
1966_5,6,Orietta Berti-Ornella Vanoni,Io ti darò di più,M. Remigi-A. Testa,11
1966_6,7,Giorgio Gaber-Pat Boone,Mai mai mai Valentina,G. Colonnello-A. Testa,11
1966_7,8,Edoardo Vianello-Françoise Hardy,Parlami di te,E. Vianello-V. Pallavicini,9
