Writer,Songs
L. Baglioni,[{'name': 'Il congiuntivo', 'pos': 4}]
N. Fabi,[{'name': 'Lasciarsi un giorno a Roma', 'pos': 8}, {'name': 'Lontano da tutto', 'pos': 4}]
L. Mattioni,[{'name': 'Guardami negli occhi (Prego)', 'pos': 4}]
F. Leali,[{'name': 'La bandiera di sole', 'pos': 8}, {'name': 'Io amo', 'pos': 4}, {'name': 'Ti lascerò', 'pos': 1}, {'name': "Un po' di te", 'pos': 7}, {'name': "Un po' di te", 'pos': 3}, {'name': 'Ora che ho bisogno di te', 'pos': 4}]
C. A. Rossi,[{'name': 'Eco tra gli abeti', 'pos': 5}, {'name': 'Nel regno dei sogni', 'pos': 10}, {'name': 'Il cantico del cielo', 'pos': 4}, {'name': 'Quando vien la sera', 'pos': 3}, {'name': 'Le mille bolle blu', 'pos': 5}, {'name': 'Stanotte al luna park', 'pos': 5}]
S. Testi,[{'name': 'A goccia a goccia', 'pos': 7}, {'name': 'Un bacio alla mia età', 'pos': 5}, {'name': 'Un altro amore no', 'pos': 10}]
J. Fontana,[{'name': "Pa' diglielo a ma'", 'pos': 7}, {'name': 'Che sarà', 'pos': 2}]
R. Musumarra,[{'name': 'Un bacio alla mia età', 'pos': 5}]
M. Z. Granieri,[{'name': 'Ogni giorno di più', 'pos': 10}]
M. Natale,[{'name': 'Esatto!', 'pos': 7}, {'name': 'Non credo nei miracoli', 'pos': 5}]
A. Celentano,[{'name': '24mila baci', 'pos': 2}, {'name': "Chi non lavora non fa l'amore", 'pos': 1}, {'name': 'Sotto le lenzuola', 'pos': 5}]
D. Bosio,[{'name': 'Chiedi quello che vuoi', 'pos': 5}]
G. Pegoraro,[{'name': 'Notte di Praga', 'pos': 4}]
U. Fusco,[{'name': 'Canto nella valle', 'pos': 3}]
A. De Carmine,[{'name': 'Targato NA', 'pos': 4}]
M. Luberti,[{'name': 'Il mio amore', 'pos': 7}]
A. Sandri,[{'name': 'Oceano', 'pos': 6}]
S. Mineo,[{'name': 'Che sia benedetta', 'pos': 2}]
P. Frescura,[{'name': 'Due anelli', 'pos': 5}]
G. Di Michele,[{'name': 'Gli amori diversi', 'pos': 3}]
G. Anelli,[{'name': 'Soli', 'pos': 3}, {'name': 'Regalami un sorriso', 'pos': 8}]
A. Fragna,[{'name': 'Papà Pacifico', 'pos': 10}]
S. Di Nardo,[{'name': 'La gente parla', 'pos': 4}]
K. Ammar,[{'name': 'Come in ogni ora', 'pos': 3}]
R. Amadè,[{'name': 'Come pioggia', 'pos': 3}]
E. Sciorilli,[{'name': 'La colpa fu', 'pos': 5}, {'name': 'Non costa niente', 'pos': 4}, {'name': 'Non pensare a me', 'pos': 1}]
G. Fiorelli,[{'name': 'Madonna delle rose', 'pos': 4}, {'name': 'Buongiorno tristezza', 'pos': 1}, {'name': 'Albero caduto', 'pos': 7}, {'name': 'Corde della mia chitarra', 'pos': 1}]
F. Gazzè,[{'name': 'Una musica può fare', 'pos': 8}, {'name': 'Il timido ubriaco', 'pos': 4}, {'name': 'Sotto casa', 'pos': 7}, {'name': 'La leggenda di Cristalda e Pizzomunno', 'pos': 6}]
S. Cristicchi,[{'name': 'Ti regalerò una rosa', 'pos': 1}, {'name': 'Meno male', 'pos': 7}, {'name': 'Abbi cura di me', 'pos': 5}]
M. Castelnuovo,[{'name': 'Nina', 'pos': 6}]
V. Tariciotti,[{'name': 'Vado a lavorare', 'pos': 4}]
D. Verde,[{'name': 'Piove (ciao ciao bambina)', 'pos': 1}, {'name': 'Romantica', 'pos': 1}]
C. Di Domenico,[{'name': 'Liberami', 'pos': 6}, {'name': 'Fiumi di parole', 'pos': 1}]
A. Di Zio,[{'name': 'Senti uomo', 'pos': 10}]
G. Arena,[{'name': 'Midnight', 'pos': 10}]
F. Palazzolo,[{'name': 'Uomo allo specchio', 'pos': 8}]
F. Arnò,[{'name': 'Ricomincio da qui', 'pos': 5}]
Raphael Gualazzi,[{'name': 'Sai (ci basta un sogno)', 'pos': 5}]
A. Bavo,[{'name': 'Il mago', 'pos': 3}]
Jovanotti,[{'name': "L'amore è", 'pos': 5}]
S. Cossu,[{'name': 'Souvenir', 'pos': 10}, {'name': 'Piccoli giganti', 'pos': 6}, {'name': 'Dedicato a te', 'pos': 4}]
M. Cantini,[{'name': "Pa' diglielo a ma'", 'pos': 7}]
D. Rettore,[{'name': 'Di notte specialmente', 'pos': 10}]
M. Mariotti,[{'name': 'Sedici anni', 'pos': 9}]
M. Marrocchi,[{'name': 'Un uomo piange solo per amore', 'pos': 10}, {'name': 'Tu sei bella come sei', 'pos': 7}, {'name': 'Vado a lavorare', 'pos': 4}, {'name': 'La gente parla', 'pos': 4}, {'name': '...E le rondini sfioravano il grano', 'pos': 3}, {'name': "Perdere l'amore", 'pos': 1}]
S. Ortone,[{'name': 'Amare', 'pos': 1}]
R. Gianco,[{'name': 'Pietre', 'pos': 8}]
L. Zecchino,[{'name': 'Che ne sai della notte', 'pos': 4}]
N. Ravasini,[{'name': 'Al mercato di Pizzighettone', 'pos': 4}, {'name': "L'attesa", 'pos': 6}, {'name': 'Lui andava a cavallo', 'pos': 6}]
L. Urbani,[{'name': 'Noi non ci capiamo', 'pos': 10}]
M. Del Freo,[{'name': 'Doppiamente fragili', 'pos': 1}]
L. Chiaravalli,[{'name': 'Il futuro che sarà', 'pos': 8}, {'name': 'Fatti avanti amore', 'pos': 2}, {'name': 'Un giorno mi dirai', 'pos': 1}, {'name': "Occidentali's Karma", 'pos': 1}, {'name': 'Fatti bella per te', 'pos': 5}]
I. Calcagno,[{'name': 'Principessa delle rose', 'pos': 6}]
F. Gargiulo,[{'name': 'Nessun grado di separazione', 'pos': 2}]
G. Nannini,[{'name': 'Colpo di fulmine', 'pos': 1}, {'name': 'Musica che resta', 'pos': 3}]
A. Martelli,[{'name': 'Vattene amore', 'pos': 3}, {'name': 'Secondo te', 'pos': 3}]
R. Mogliotti,[{'name': 'La canzone del perdono', 'pos': 4}]
B. Cherubini,[{'name': 'Vola Colomba', 'pos': 1}, {'name': 'Campanaro', 'pos': 2}, {'name': 'Campana di Santa Lucia', 'pos': 4}]
W. Malgoni,[{'name': 'Scusami', 'pos': 3}, {'name': 'Non potrai dimenticare', 'pos': 8}, {'name': 'Tua', 'pos': 4}, {'name': 'Noi', 'pos': 7}, {'name': 'Tango italiano', 'pos': 2}, {'name': 'Amor mon amour my love', 'pos': 2}]
D. Amerio,[{'name': 'Quelli come noi', 'pos': 3}, {'name': "Bisogno d'amore", 'pos': 6}, {'name': 'Non finisce qui', 'pos': 9}]
G. Pieretti,[{'name': 'Pietre', 'pos': 8}, {'name': 'Domani domani', 'pos': 8}]
D. Civaschi,[{'name': 'Dentro di me', 'pos': 9}, {'name': 'La terra dei cachi', 'pos': 2}]
E. Carella,[{'name': 'Barbara', 'pos': 2}]
J. Maiello Ferry,[{'name': 'Vicina e lontana', 'pos': 10}]
M. Vecchi,[{'name': 'Dove si va', 'pos': 2}]
R. Pagliarulo,[{'name': 'Nu juorno buono', 'pos': 1}, {'name': 'Wake Up', 'pos': 9}]
M. Zenima Granieri,[{'name': 'E ci sei', 'pos': 9}]
W. Bassani,[{'name': 'Ipnotica', 'pos': 5}]
G. Guglielminetti,[{'name': "Un'emozione da poco", 'pos': 2}]
P. A. Cassella,[{'name': 'Maledetta primavera', 'pos': 2}, {'name': 'Tu cosa fai stasera?', 'pos': 3}, {'name': 'Su quel pianeta libero', 'pos': 8}, {'name': 'Chiamalo amore', 'pos': 3}]
P. Bertoli,[{'name': 'Spunta la Luna dal monte', 'pos': 5}, {'name': "Italia d'oro", 'pos': 4}]
M. Reitano,[{'name': 'Canta con noi', 'pos': 1}]
M. Festuccia,[{'name': 'Briciole di pane', 'pos': 3}]
M. Zangirolami,[{'name': 'Il mago', 'pos': 3}]
M. Vergnaghi,[{'name': "Di sole e d'azzurro", 'pos': 2}]
N. Salerno,[{'name': "Un disco dall'Italia", 'pos': 5}, {'name': 'Timida serenata', 'pos': 6}, {'name': 'È vero', 'pos': 8}, {'name': 'Lui andava a cavallo', 'pos': 6}]
L. Rana,[{'name': 'Sei la vita mia', 'pos': 2}]
G. Nenna,[{'name': 'La ragazza con il cuore di latta', 'pos': 7}]
A. Salerno,[{'name': 'Bella da morire', 'pos': 1}, {'name': 'Terra promessa', 'pos': 1}, {'name': 'In volo nel futuro', 'pos': 7}, {'name': 'Dopo la tempesta', 'pos': 4}, {'name': 'Sei tu', 'pos': 3}, {'name': 'Luce', 'pos': 6}, {'name': 'Senza pietà', 'pos': 1}, {'name': 'Per dire di no', 'pos': 1}]
L. Bruti,[{'name': 'Aria, sole, terra e mare', 'pos': 3}]
R. Casalino,[{'name': 'Per sempre', 'pos': 7}, {'name': "L'essenziale", 'pos': 1}, {'name': 'Ti porto a cena con me', 'pos': 9}]
A. Volpe,[{'name': 'Di un amore', 'pos': 9}]
R. Canale,[{'name': 'Infinite volte', 'pos': 5}, {'name': 'Ora mai', 'pos': 1}]
P. Mango,[{'name': 'Luce', 'pos': 6}]
K. Scherer,[{'name': 'Quando sono lontano', 'pos': 7}]
G. Faletti,[{'name': 'Signor tenente', 'pos': 2}]
P. Brera,[{'name': 'Luna', 'pos': 9}]
L. Silvi,[{'name': 'Sarò bellissima', 'pos': 2}]
E. Aldrighetti,[{'name': 'Ipnotica', 'pos': 5}]
S. Borzi,[{'name': 'Sottovoce', 'pos': 7}, {'name': 'Stai con me (Forever)', 'pos': 1}]
A. Bonomo,[{'name': 'Fatti avanti amore', 'pos': 2}, {'name': 'Il mago', 'pos': 3}]
G. Galgani,[{'name': 'Possiamo realizzare i nostri sogni', 'pos': 6}]
A. Santonocito,[{'name': 'Fuoco e cenere', 'pos': 2}]
M. Mudimbi,[{'name': 'Il mago', 'pos': 3}]
C. Mattone,[{'name': 'Ma che freddo fa', 'pos': 5}, {'name': 'Il cuore è uno zingaro', 'pos': 1}, {'name': 'Il re di denari', 'pos': 3}, {'name': 'Un grande amore e niente più', 'pos': 1}, {'name': 'Il clarinetto', 'pos': 2}, {'name': "Una carezza d'aiuto", 'pos': 2}, {'name': 'Con un amico vicino', 'pos': 3}, {'name': 'Le ragazze', 'pos': 1}, {'name': 'Mai più sola', 'pos': 5}, {'name': 'Sei tu', 'pos': 3}, {'name': 'Cronaca', 'pos': 3}]
M. Marcolini,[{'name': 'Dimmi come...', 'pos': 2}, {'name': 'Spiove il sole', 'pos': 9}]
M. Pagani,[{'name': 'Io come farò', 'pos': 10}]
Zenonazza,[{'name': 'Rivoglio la mia vita', 'pos': 7}]
O. Angiuli,[{'name': 'Tutta colpa mia', 'pos': 8}]
S. Bardotti,[{'name': 'Canzone per te', 'pos': 1}, {'name': 'Lontano dagli occhi', 'pos': 2}, {'name': 'Tu sei bella come sei', 'pos': 7}, {'name': 'Piazza Grande', 'pos': 8}, {'name': 'Ti lascerò', 'pos': 1}, {'name': 'Io come farò', 'pos': 10}]
A. Genovese,[{'name': 'Tu sola', 'pos': 5}]
G. Godi,[{'name': 'Luna', 'pos': 9}]
G. Dati,[{'name': 'Disperato', 'pos': 1}, {'name': 'Oggi un Dio non ho', 'pos': 10}, {'name': 'Le persone inutili', 'pos': 1}, {'name': 'Gli uomini non cambiano', 'pos': 2}, {'name': 'La forza della vita', 'pos': 3}, {'name': 'Brutta', 'pos': 6}, {'name': 'Un anno di noi', 'pos': 10}, {'name': "L'uomo volante", 'pos': 1}]
S. Profeta,[{'name': "All'infinito", 'pos': 9}]
P. Carone,[{'name': 'Per tutte le volte che...', 'pos': 1}, {'name': 'Nanì', 'pos': 5}]
T. Cerasuolo,[{'name': "L'unica", 'pos': 6}]
Sergepy,[{'name': 'Per lei', 'pos': 4}]
A. Minghi,[{'name': 'Vattene amore', 'pos': 3}, {'name': 'Nené', 'pos': 6}, {'name': 'Dubbi no', 'pos': 7}, {'name': 'Notte bella, magnifica', 'pos': 9}, {'name': "Cantare è d'amore", 'pos': 9}]
F. Facchinetti,[{'name': 'Vivere normale', 'pos': 8}]
F. Ilacqua,[{'name': 'Amen', 'pos': 1}, {'name': "Occidentali's Karma", 'pos': 1}]
M. De Martino,[{'name': 'Notte mia', 'pos': 10}]
R. Ruocco,[{'name': 'Vecchia villa comunale', 'pos': 5}]
R. Facchinetti,[{'name': 'Innamoratevi come me', 'pos': 3}]
F. Arrigoni,[{'name': 'Taxi', 'pos': 8}]
M. Zanfagna,[{'name': 'Notte mia', 'pos': 10}]
L. Barbarossa,[{'name': 'Roma spogliata', 'pos': 4}, {'name': 'Come dentro un film', 'pos': 9}, {'name': "L'amore rubato", 'pos': 3}, {'name': 'Portami a ballare', 'pos': 1}, {'name': 'Fortuna', 'pos': 10}, {'name': 'Passame er sale', 'pos': 7}]
G. Cionfoli,[{'name': 'Solo grazie', 'pos': 4}]
F. Minoia,[{'name': 'Al di là di questi anni', 'pos': 3}, {'name': 'Semplice sai', 'pos': 1}]
C. Esposito,[{'name': 'Grande amore', 'pos': 1}]
L. Pilat,[{'name': 'Romantico blues', 'pos': 6}, {'name': 'Tipitipitì', 'pos': 9}, {'name': 'Rose nel buio', 'pos': 9}, {'name': 'Occhi rossi', 'pos': 3}]
Dinaro,[{'name': 'Ciao cara, come stai?', 'pos': 1}]
Querencio,[{'name': 'Linda bella Linda', 'pos': 8}]
D. Sacco,[{'name': 'Dove si va', 'pos': 2}]
C. Rigano,[{'name': 'Vedrai', 'pos': 10}]
I. Ianne,[{'name': 'Ciao cara, come stai?', 'pos': 1}, {'name': 'Io amo', 'pos': 4}, {'name': 'Vieni a stare qui', 'pos': 2}]
M. Battistini,[{'name': 'Canta con noi', 'pos': 1}]
A. Bergamaschi,[{'name': "C'è che ti amo", 'pos': 4}]
Mirkoeilcane,[{'name': 'Stiamo tutti bene', 'pos': 2}]
A. Ventura,[{'name': 'Ho bisogno di te', 'pos': 5}]
F. Abbate,[{'name': 'Nessun grado di separazione', 'pos': 2}, {'name': 'Il diario degli errori', 'pos': 4}]
M. C. Lacamera,[{'name': 'Un grande addio', 'pos': 4}]
P. Meneguzzo,[{'name': 'Guardami negli occhi (Prego)', 'pos': 4}, {'name': 'Grande', 'pos': 6}]
P. Servillo,[{'name': 'È colpa mia', 'pos': 10}]
L. Santoro,[{'name': 'Siamo treni', 'pos': 8}]
C. Daiano,[{'name': 'Ciao cara, come stai?', 'pos': 1}, {'name': 'Oramai', 'pos': 6}]
D. Persoglio,[{'name': 'Ricordi', 'pos': 5}]
C. Dazzi,[{'name': 'Lasciarsi un giorno a Roma', 'pos': 8}]
A. Carrisi,[{'name': "13, storia d'oggi", 'pos': 8}, {'name': 'Nostalgia canaglia', 'pos': 3}, {'name': 'Cara terra mia', 'pos': 3}, {'name': 'Ancora in volo', 'pos': 6}, {'name': 'Amanda è libera', 'pos': 3}]
A. Flora,[{'name': 'Adesso e qui (nostalgico presente)', 'pos': 3}, {'name': 'Mi sento bene', 'pos': 8}]
D. De Santis,[{'name': 'Aria, sole, terra e mare', 'pos': 3}]
M. Ayane,[{'name': 'Ricomincio da qui', 'pos': 5}, {'name': 'Adesso e qui (nostalgico presente)', 'pos': 3}]
A. Aquilani,[{'name': 'Dimmi come...', 'pos': 2}]
P. Vallesi,[{'name': 'Le persone inutili', 'pos': 1}, {'name': 'La forza della vita', 'pos': 3}]
Pellecalamaio,[{'name': 'Prova a dire il mio nome', 'pos': 4}]
D. Coro,[{'name': 'Che giorno è', 'pos': 6}]
S. Galante,[{'name': 'Un giorno in più', 'pos': 2}]
G. Belleno,[{'name': 'Soli', 'pos': 3}]
R. Esposito,[{'name': 'Ora mai', 'pos': 1}]
Albula,[{'name': 'Proposta', 'pos': 3}]
M. Mengoni,[{'name': 'Credimi ancora', 'pos': 3}, {'name': "L'essenziale", 'pos': 1}]
F. Cianciola,[{'name': 'Tutta colpa mia', 'pos': 8}]
D. Calvio,[{'name': 'Ricordi', 'pos': 5}]
R. Angiolini,[{'name': 'Da bambino', 'pos': 7}]
Zibio,[{'name': 'Mille volte', 'pos': 9}]
Nisa,[{'name': 'Gondolì gondolà', 'pos': 3}, {'name': "Non ho l'età (Per amarti)", 'pos': 1}, {'name': 'La musica è finita', 'pos': 4}]
Stash,[{'name': 'Frida (mai, mai, mai)', 'pos': 9}]
L. Bonometti,[{'name': 'Non credo nei miracoli', 'pos': 5}]
F. Godi,[{'name': 'Che ne so', 'pos': 7}]
S. Mantegazza,[{'name': 'Ricordi', 'pos': 5}]
B. Zambrini,[{'name': 'In amore', 'pos': 2}]
R. Kunstler,[{'name': 'Tutto quello che un uomo', 'pos': 3}, {'name': "L'amore non si spiega", 'pos': 7}]
P. Muscolino,[{'name': 'Specchi rotti', 'pos': 5}]
F. Spinetti,[{'name': 'Sentimento', 'pos': 1}]
C. Noto,[{'name': 'Sei la vita mia', 'pos': 2}]
G. Lorefice,[{'name': 'La donna di Ibsen', 'pos': 2}, {'name': 'Come una Turandot', 'pos': 2}]
G. Baldazzi,[{'name': 'Piazza Grande', 'pos': 8}]
C. Ori,[{'name': 'Spiove il sole', 'pos': 9}]
M. Minoia,[{'name': 'Chi sei non lo so', 'pos': 4}]
G. Colonnelli,[{'name': 'La ragazza con il cuore di latta', 'pos': 7}]
P. Donaggio,[{'name': 'Come sinfonia', 'pos': 6}, {'name': 'Giovane giovane', 'pos': 3}, {'name': 'Una casa in cima al mondo', 'pos': 4}]
G. Redi,[{'name': 'Timida serenata', 'pos': 6}, {'name': 'Io amo tu ami', 'pos': 4}]
G. Cassia,[{'name': 'Bisogna saper perdere', 'pos': 6}, {'name': 'Tu sei bella come sei', 'pos': 7}]
R. Di Bella,[{'name': 'Non volevo', 'pos': 6}, {'name': 'Guardami negli occhi (Prego)', 'pos': 4}, {'name': 'Musica', 'pos': 6}]
M. Signorini,[{'name': 'Non voglio innamorarmi mai', 'pos': 5}]
E. Bennato,[{'name': 'Grande sud', 'pos': 10}]
L. D'Alessio,[{'name': 'Non dirgli mai', 'pos': 10}, {'name': 'Tu che ne sai', 'pos': 8}, {'name': 'Essere una donna', 'pos': 3}, {'name': 'Il mio amico', 'pos': 2}, {'name': 'Non riesco a farti innamorare', 'pos': 3}, {'name': 'Respirare', 'pos': 4}]
A. Civai,[{'name': 'La nave va', 'pos': 2}, {'name': 'E sia così', 'pos': 3}, {'name': 'Perché', 'pos': 9}, {'name': 'Non amarmi', 'pos': 1}, {'name': 'Passerà', 'pos': 1}, {'name': 'Soli al bar', 'pos': 8}]
M. Tronco e G. Servillo,[{'name': 'Sentimento', 'pos': 1}]
Alexia,[{'name': 'Per dire di no', 'pos': 1}]
M. Pagano,[{'name': "Sull'acqua", 'pos': 8}]
G. Curreri,[{'name': '...E dimmi che non vuoi morire', 'pos': 8}, {'name': 'Lo zaino', 'pos': 5}, {'name': 'La tua ragazza sempre', 'pos': 2}, {'name': 'Un giorno mi dirai', 'pos': 1}, {'name': 'Cosa ti aspetti da me', 'pos': 4}]
M. Porru,[{'name': 'Straniero', 'pos': 2}, {'name': 'Ogni tanto si sogna', 'pos': 4}]
M. Baglioni,[{'name': 'Il congiuntivo', 'pos': 4}]
M. Ruccione,[{'name': 'Madonna delle rose', 'pos': 4}, {'name': '...e la barca tornò sola', 'pos': 3}, {'name': 'Buongiorno tristezza', 'pos': 1}, {'name': 'Albero caduto', 'pos': 7}, {'name': 'Corde della mia chitarra', 'pos': 1}]
R. Cardelli,[{'name': 'Il nostro tempo', 'pos': 2}, {'name': 'Il linguaggio della resa', 'pos': 1}, {'name': 'Portami via', 'pos': 7}]
I. Callegari,[{'name': "Il gioco dell'amore", 'pos': 8}]
C. Ferrari,[{'name': 'In equilibrio', 'pos': 2}]
G. Mangiaracina,[{'name': 'Sincerità', 'pos': 1}]
M. Zappatini,[{'name': 'Angelo', 'pos': 1}]
L. Panico,[{'name': 'Non finirà', 'pos': 10}]
M. Guazzone,[{'name': 'Guasto', 'pos': 4}]
N. Oliviero,[{'name': 'Vecchia villa comunale', 'pos': 5}, {'name': 'La vita è un paradiso di bugie', 'pos': 3}]
F. Coppini,[{'name': 'Un porto nel vento', 'pos': 9}]
T. Sinatra,[{'name': 'Gechi e vampiri', 'pos': 6}]
A. Branca,[{'name': 'Luna', 'pos': 9}]
D. Mariano,[{'name': "L'immensità", 'pos': 9}, {'name': 'Canzone', 'pos': 3}, {'name': 'Un sorriso', 'pos': 3}]
F. Fiumara,[{'name': 'Se poi mi chiami', 'pos': 3}]
G. Puzzo,[{'name': 'Un grande addio', 'pos': 4}]
S. Boffa,[{'name': 'Cuore', 'pos': 8}]
G. Fazio,[{'name': 'Fatti avanti amore', 'pos': 2}]
B. Pallesi,[{'name': 'Sussurrando buonanotte', 'pos': 8}, {'name': 'Non potrai dimenticare', 'pos': 8}, {'name': 'Tua', 'pos': 4}, {'name': 'Noi', 'pos': 7}, {'name': 'Tango italiano', 'pos': 2}, {'name': 'Amor mon amour my love', 'pos': 2}, {'name': 'Non sapevo', 'pos': 10}]
G. Fassino,[{'name': 'Perché le donne belle', 'pos': 7}]
D. Pinelli,[{'name': 'Un altro amore no', 'pos': 10}, {'name': 'Un inverno da baciare', 'pos': 7}, {'name': 'Il passo silenzioso della neve', 'pos': 2}]
G. Romanelli,[{'name': 'Lividi e fiori', 'pos': 7}, {'name': 'Guardastelle', 'pos': 5}]
E. Fusco,[{'name': 'Il mio amore', 'pos': 7}]
G. Chiocchio,[{'name': 'Stato di calma apparente', 'pos': 7}]
F. Poli,[{'name': 'Lei balla sola', 'pos': 7}]
T. Palamara,[{'name': 'Ti amo che strano', 'pos': 7}]
G. Padovan,[{'name': "Tu mi rubi l'anima", 'pos': 2}]
G. D'Argenzio,[{'name': 'Sentimento', 'pos': 1}]
G. Marchetti,[{'name': 'Se piangi, se ridi', 'pos': 1}]
M. Nava,[{'name': 'Spalle al muro', 'pos': 2}, {'name': 'Così è la vita', 'pos': 3}, {'name': 'Il cuore mio', 'pos': 6}]
R. Casale,[{'name': 'Gli amori diversi', 'pos': 3}]
S. Dionigi,[{'name': 'Fotografia', 'pos': 6}]
G. Guarneri,[{'name': 'Mi son chiesta tante volte', 'pos': 10}]
M. Saracino,[{'name': 'Non ci sto', 'pos': 1}]
T. Renis,[{'name': 'Quando quando quando', 'pos': 4}, {'name': 'Uno per tutte', 'pos': 1}, {'name': 'Quando dico che ti amo', 'pos': 2}]
F. Ricci,[{'name': 'Liberami', 'pos': 6}, {'name': 'Fiumi di parole', 'pos': 1}]
D. Sinigallia,[{'name': 'Lasciarsi un giorno a Roma', 'pos': 8}]
O. Rubino,[{'name': 'Ora', 'pos': 3}]
L. Carmi,[{'name': 'Il torrente', 'pos': 2}]
G. Togni,[{'name': "Ti parlerò d'amore", 'pos': 9}]
F. Mussida,[{'name': 'Bella più di me', 'pos': 4}]
F. Morettini,[{'name': 'Promessa', 'pos': 5}]
N. Rastelli,[{'name': 'Papaveri e papere', 'pos': 2}, {'name': 'Papà Pacifico', 'pos': 10}]
D. Dattoli,[{'name': 'Il mondo piange', 'pos': 6}]
M. Paoluzzi,[{'name': 'A lei', 'pos': 7}]
M. Masini,[{'name': 'Disperato', 'pos': 1}, {'name': 'Perché lo fai', 'pos': 3}, {'name': "L'uomo volante", 'pos': 1}, {'name': 'Che giorno è', 'pos': 6}, {'name': 'La borsa di una donna', 'pos': 8}]
E. Di Lazzaro,[{'name': 'Il passerotto', 'pos': 7}]
T. De Gasperi,[{'name': 'Appena prima di partire', 'pos': 9}]
G. C. Testoni,[{'name': 'Grazie dei Fiori', 'pos': 1}, {'name': 'Sotto il mandorlo', 'pos': 10}, {'name': 'Il bosco innamorato', 'pos': 6}, {'name': 'Due teste sul cuscino', 'pos': 10}, {'name': 'Un filo di speranza', 'pos': 9}, {'name': 'Io sono il vento', 'pos': 2}]
Carrel,[{'name': 'La cicogna distratta', 'pos': 7}]
A. Casaburi,[{'name': 'Ricomincerei', 'pos': 4}, {'name': 'Bastava un niente', 'pos': 5}]
E. Gragnaniello,[{'name': 'Alberi', 'pos': 4}]
M. Manzani,[{'name': 'Perché lo fai', 'pos': 3}, {'name': 'Quando ti senti sola', 'pos': 4}, {'name': 'Padre Nostro', 'pos': 6}]
Leozed,[{'name': 'Oceano', 'pos': 6}]
Povia,[{'name': 'La verità', 'pos': 10}]
S. Mazzocco,[{'name': 'Cipria di sole', 'pos': 8}]
M. Remigi,[{'name': 'Io ti darò di più', 'pos': 6}]
M. E. Giovanardi,[{'name': 'Io confesso', 'pos': 6}]
N. Zilli,[{'name': "L'uomo che amava le donne", 'pos': 3}, {'name': 'Per sempre', 'pos': 7}, {'name': 'Sola', 'pos': 9}]
E. Mineo,[{'name': 'Che sia benedetta', 'pos': 2}]
Pinchi,[{'name': 'Una donna prega', 'pos': 3}, {'name': 'Vecchio scarpone', 'pos': 4}, {'name': 'Canzone da due soldi', 'pos': 2}, {'name': 'Aprite le finestre', 'pos': 1}, {'name': 'Splende il sole', 'pos': 9}, {'name': 'Amor mon amour my love', 'pos': 2}, {'name': 'Perdonarsi in due', 'pos': 6}]
M. Cozzoli,[{'name': 'Lasciami cantare una canzone', 'pos': 3}, {'name': 'Il pericolo numero uno', 'pos': 6}]
F. Ventura,[{'name': 'E camminiamo', 'pos': 4}]
G. Wright,[{'name': 'Un grande amore e niente più', 'pos': 1}]
A. Zurawski,[{'name': 'Lei che', 'pos': 3}]
G. Guarnieri,[{'name': 'Una rosa da Vienna', 'pos': 5}]
C. Marrale,[{'name': '...e dirsi ciao', 'pos': 1}, {'name': 'Vacanze romane', 'pos': 4}, {'name': 'Souvenir', 'pos': 10}, {'name': 'Piccoli giganti', 'pos': 6}, {'name': 'Dedicato a te', 'pos': 4}]
C. Galbignani,[{'name': 'Pedala', 'pos': 8}]
V. Magelli,[{'name': 'Aspettami ogni sera', 'pos': 3}, {'name': "Morirò d'amore", 'pos': 7}]
C. Dello Iacovo,[{'name': 'Introverso', 'pos': 2}]
M. Calò,[{'name': 'Il mare immenso', 'pos': 10}]
D. Fainello,[{'name': "L'amore", 'pos': 1}]
S. Borgia,[{'name': 'Se ti senti veramente un amico', 'pos': 6}, {'name': 'Le mamme', 'pos': 2}, {'name': 'Sei tu', 'pos': 2}]
M. Mastrangeli,[{'name': 'Non è tardi', 'pos': 7}]
M. Guarniero,[{'name': 'Senza averti qui', 'pos': 8}]
S. Bersani,[{'name': 'Replay', 'pos': 5}, {'name': 'Un pallone', 'pos': 9}]
C. Concina,[{'name': 'Vola Colomba', 'pos': 1}, {'name': 'Campanaro', 'pos': 2}, {'name': 'Usignolo', 'pos': 2}, {'name': 'Campana di Santa Lucia', 'pos': 4}]
G. Compare,[{'name': 'È mezzanotte', 'pos': 5}]
M. Fabrizio,[{'name': 'Storie di tutti i giorni', 'pos': 1}, {'name': 'Sarà quel che sarà', 'pos': 1}, {'name': 'Sulla buona strada', 'pos': 4}, {'name': 'Sul mare', 'pos': 8}, {'name': 'Grande grande amore', 'pos': 1}, {'name': 'Ma non finisce mica qui', 'pos': 6}, {'name': "Almeno tu nell'universo", 'pos': 9}, {'name': 'Io ti prego di ascoltare', 'pos': 9}, {'name': 'In una notte così', 'pos': 10}, {'name': 'Strano il mio destino', 'pos': 3}, {'name': 'È la mia vita', 'pos': 7}, {'name': 'Sempre', 'pos': 3}, {'name': 'Sempre', 'pos': 2}, {'name': "Che mistero è l'amore", 'pos': 4}, {'name': "Schiavo d'amore", 'pos': 3}]
P. Iezzi,[{'name': 'Amici come prima', 'pos': 1}]
M. Schembri,[{'name': "Un po' di te", 'pos': 7}, {'name': "Un po' di te", 'pos': 3}]
M. Tansini,[{'name': 'Straniero', 'pos': 2}]
S. Piro,[{'name': 'Noël', 'pos': 7}]
