Writer,Songs
B. Bergonzi,[{'name': "Walkin'", 'pos': 8}]
M. Patrignani,[{'name': 'Non finisce così', 'pos': 4}]
A. Piga,[{'name': 'Intorno a te (È sempre primavera)', 'pos': 7}]
P. Rolla,[{'name': "Un'anima leggera", 'pos': 7}]
G. Marotta,[{'name': 'Cipria di sole', 'pos': 8}]
R. Gaetano,[{'name': 'Gianna', 'pos': 3}]
E. Bonagura,[{'name': 'Eco tra gli abeti', 'pos': 5}, {'name': 'Incantatella', 'pos': 4}, {'name': 'Il pericolo numero uno', 'pos': 6}, {'name': 'Io amo tu ami', 'pos': 4}]
D. Massa,[{'name': 'Promessa', 'pos': 5}]
R. Zappalorto,[{'name': 'Nessuno può fermare questo tempo', 'pos': 6}, {'name': 'Ed io non ci sto più', 'pos': 7}]
R. Salani,[{'name': 'No Pierrot', 'pos': 6}]
G. Pulli,[{'name': 'Cosa ti aspetti da me', 'pos': 4}]
M. Gazzè,[{'name': 'Una musica può fare', 'pos': 8}, {'name': 'Il timido ubriaco', 'pos': 4}, {'name': 'Sotto casa', 'pos': 7}, {'name': 'La leggenda di Cristalda e Pizzomunno', 'pos': 6}]
U. Balsamo,[{'name': 'Dolce frutto', 'pos': 4}, {'name': 'Amore mio', 'pos': 9}, {'name': 'Come stai, con chi sei', 'pos': 2}, {'name': 'Chi (Mi darà)', 'pos': 9}, {'name': 'Futuro', 'pos': 6}, {'name': 'Italia', 'pos': 6}, {'name': 'Nascerà Gesù', 'pos': 9}]
Da Rovere,[{'name': 'La cicogna distratta', 'pos': 7}]
F. Renga,[{'name': 'Tracce di te', 'pos': 8}, {'name': 'Angelo', 'pos': 1}, {'name': 'La tua bellezza', 'pos': 8}]
R. Zaneli,[{'name': 'Un bacio alla mia età', 'pos': 5}]
S. Mattoccia,[{'name': 'Sottovoce', 'pos': 7}]
M. Casadei,[{'name': "Dietro l'intima ragione", 'pos': 4}]
G. Lucariello,[{'name': "Che mistero è l'amore", 'pos': 4}]
R. Brioschi,[{'name': 'Terra promessa', 'pos': 1}, {'name': 'In volo nel futuro', 'pos': 7}]
G. Morra,[{'name': 'Storie di tutti i giorni', 'pos': 1}, {'name': 'Ma non finisce mica qui', 'pos': 6}, {'name': 'Io ti prego di ascoltare', 'pos': 9}, {'name': 'In una notte così', 'pos': 10}, {'name': "Ti parlerò d'amore", 'pos': 9}, {'name': 'Sempre', 'pos': 3}, {'name': 'Sempre', 'pos': 2}, {'name': "Schiavo d'amore", 'pos': 3}]
G. Ferreri,[{'name': 'Il mare immenso', 'pos': 10}]
V. Ripa,[{'name': 'Aveva un bavero', 'pos': 6}]
A. Scarrone,[{'name': 'Il mondo prima di te', 'pos': 3}]
R. Eleuteri,[{'name': 'Così vivrai', 'pos': 5}]
F. Bergamini,[{'name': "Un'anima leggera", 'pos': 7}]
R. Ferri,[{'name': 'Sarà quel che sarà', 'pos': 1}, {'name': 'Bella più di me', 'pos': 4}, {'name': '...E dimmi che non vuoi morire', 'pos': 8}]
G. Fabor,[{'name': "Amare un'altra", 'pos': 3}, {'name': 'Mille volte', 'pos': 9}]
R. Pareti,[{'name': 'Bella da morire', 'pos': 1}]
S. Belisari,[{'name': 'La terra dei cachi', 'pos': 2}, {'name': 'La canzone mononota', 'pos': 2}]
G. Caliendo,[{'name': 'Turuturu', 'pos': 3}]
Assolo,[{'name': 'Promessa', 'pos': 5}]
Mahmood,[{'name': 'Soldi', 'pos': 1}]
G. Paoli,[{'name': 'Un uomo vivo', 'pos': 10}, {'name': 'Tanti auguri', 'pos': 6}, {'name': 'Io come farò', 'pos': 10}, {'name': 'Un altro amore', 'pos': 3}]
R. Rubino,[{'name': 'Il postino (amami uomo)', 'pos': 3}]
Lubiak,[{'name': 'Tu nella mia vita', 'pos': 6}]
L. Pellegrino,[{'name': 'Beguine', 'pos': 6}]
S. Amato,[{'name': 'Aria e musica', 'pos': 10}, {'name': 'Ti penso', 'pos': 5}]
S. Cutugno,[{'name': 'Solo noi', 'pos': 1}, {'name': 'Serenata', 'pos': 2}, {'name': 'Azzurra malinconia', 'pos': 4}, {'name': 'Figli', 'pos': 2}, {'name': 'Gli amori', 'pos': 2}, {'name': 'Come noi nessuno al mondo', 'pos': 2}, {'name': 'Un falco chiuso in gabbia', 'pos': 4}]
A. Britti,[{'name': 'Oggi sono io', 'pos': 1}, {'name': 'Sono contento', 'pos': 7}, {'name': '7000 caffè', 'pos': 2}]
M. Gabbianelli,[{'name': 'Elisa', 'pos': 2}]
C. Bissi,[{'name': 'Per Elisa', 'pos': 1}]
D. De Marinis,[{'name': 'Chiedi quello che vuoi', 'pos': 5}, {'name': 'Un falco chiuso in gabbia', 'pos': 4}]
U. Tozzi,[{'name': 'Un amore grande', 'pos': 4}, {'name': 'Si può dare di più', 'pos': 1}, {'name': 'Gli altri siamo noi', 'pos': 4}]
Ultimo,[{'name': 'Il ballo delle incertezze', 'pos': 1}]
M. Morante,[{'name': 'Un posto al sole', 'pos': 4}]
A. Vian,[{'name': 'Il mare', 'pos': 6}, {'name': 'Mandolino mandolino', 'pos': 8}]
E. La Valle,[{'name': 'Casa bianca', 'pos': 2}]
E. Miceli,[{'name': 'La donna di Ibsen', 'pos': 2}, {'name': 'Come una Turandot', 'pos': 2}]
Irama,[{'name': 'La ragazza con il cuore di latta', 'pos': 7}]
M. Capuano,[{'name': 'Working Late Tonight', 'pos': 9}]
R. Serio,[{'name': 'Ave Maria', 'pos': 5}]
G. Carletti,[{'name': 'Dove si va', 'pos': 2}]
M. Varini,[{'name': "Laura non c'è", 'pos': 7}]
G. Reitano,[{'name': 'Canta con noi', 'pos': 1}]
M. Venturiello,[{'name': 'Il terzo fuochista', 'pos': 7}]
B. Gilbo,[{'name': 'Che ne sai di me', 'pos': 8}]
G. Simonelli,[{'name': 'Monica', 'pos': 3}]
A. Carnevali,[{'name': "All'infinito", 'pos': 9}]
I. Fornaciari,[{'name': 'Spiove il sole', 'pos': 9}, {'name': 'Il mondo piange', 'pos': 6}]
F. Boccia,[{'name': 'Turuturu', 'pos': 3}, {'name': 'Grande amore', 'pos': 1}]
E. Zapparoli,[{'name': 'Arriverà', 'pos': 2}]
L. Vizzini,[{'name': 'Mi sento bene', 'pos': 8}]
M. Biondo,[{'name': 'Le margherite', 'pos': 9}]
B. Zucchetti,[{'name': 'Brutta', 'pos': 6}]
G. Calabrese,[{'name': 'Non costa niente', 'pos': 4}, {'name': 'Secondo te', 'pos': 3}]
A. Annona,[{'name': 'Vai', 'pos': 7}]
D. Pace,[{'name': 'Carolina dai', 'pos': 9}, {'name': 'Occhi neri e cielo blu', 'pos': 7}, {'name': 'Nessuno mi può giudicare', 'pos': 2}, {'name': 'Io, tu e le rose', 'pos': 5}, {'name': 'La tramontana', 'pos': 5}, {'name': "Quando m'innamoro", 'pos': 6}, {'name': 'La pioggia', 'pos': 6}, {'name': 'Romantico blues', 'pos': 6}, {'name': 'Taxi', 'pos': 8}, {'name': 'Tipitipitì', 'pos': 9}, {'name': 'Rose nel buio', 'pos': 9}, {'name': "Gira l'amore (Caro bebè)", 'pos': 9}, {'name': 'Occhi rossi', 'pos': 3}, {'name': "L'ho persa ancora", 'pos': 9}, {'name': 'Il buio e tu', 'pos': 4}, {'name': "Quell'attimo in più", 'pos': 3}, {'name': 'Sarà un fiore', 'pos': 5}, {'name': 'A me mi piace vivere alla grande', 'pos': 6}, {'name': 'Sarà perché ti amo', 'pos': 5}, {'name': 'Volevo dirti', 'pos': 2}, {'name': 'A goccia a goccia', 'pos': 7}, {'name': 'Sul mare', 'pos': 8}]
